('F.', 'L.', 'F.', 'AS.')
('L.', 'OE.', 'L.', 'OF.')
('L.', 'AS.', 'OE.', 'F.')
('OF.', 'L.', 'F.', 'OE.')
('L.', 'AS.', 'NL.', 'L.')
('AS.', 'NL.', 'F.', 'AS.')
('F.', 'OF.', 'L.', 'F.')
('OE.', 'AS.', 'AS.', 'NL.')
('AS.', 'NL.', 'OE.', 'AS.')
('L.', 'AS.', 'OF.', 'OE.')
('NL.', 'F.', 'AS.', 'L.')
('NL.', 'F.', 'AS.', 'OE.')
('F.', 'L.', 'AS.', 'OF.')
('F.', 'L.', 'OE.', 'L.')
('OF.', 'F.', 'OE.', 'OE.')
('OE.', 'L.', 'F.', 'L.')
('F.', 'OF.', 'F.', 'AS.')
('OF.', 'OE.', 'L.', 'F.')
('L.', 'AS.', 'F.', 'OF.')
('AS.', 'OE.', 'OF.', 'OF.')
('AS.', 'L.', 'F.', 'F.')
('OF.', 'OF.', 'F.', 'OE.')
('L.', 'OE.', 'F.', 'L.')
('OE.', 'OF.', 'OF.', 'OE.')
('L.', 'OE.', 'OF.', 'OF.')
('OF.', 'F.', 'AS.', 'OE.')
('L.', 'AS.', 'OF.', 'L.')
('F.', 'F.', 'OE.', 'L.')
('L.', 'F.', 'F.', 'OE.')
('OF.', 'L.', 'OE.', 'AS.')
('OE.', 'OF.', 'OF.', 'F.')
('OF.', 'F.', 'AS.', 'AS.')
('L.', 'AS.', 'OF.', 'F.')
('AS.', 'OF.', 'F.', 'AS.')
('OF.', 'L.', 'AS.', 'OF.')
('L.', 'NL.', 'OE.', 'L.')
('L.', 'OF.', 'AS.', 'L.')
('AS.', 'L.', 'NL.', 'OE.')
('NL.', 'OE.', 'OE.', 'AS.')
('F.', 'F.', 'OF.', 'L.')
('OE.', 'AS.', 'L.', 'NL.')
('F.', 'L.', 'OF.', 'AS.')
('F.', 'OF.', 'AS.', 'OF.')
('AS.', 'NL.', 'OE.', 'OE.')
('AS.', 'F.', 'L.', 'OF.')
('AS.', 'AS.', 'NL.', 'OE.')
('NL.', 'OE.', 'L.', 'AS.')
('AS.', 'OF.', 'L.', 'F.')
('AS.', 'F.', 'F.', 'OF.')
('L.', 'OF.', 'L.', 'AS.')
('F.', 'AS.', 'OE.', 'OF.')
('AS.', 'OF.', 'F.', 'OE.')
('F.', 'F.', 'OE.', 'AS.')
('F.', 'OF.', 'AS.', 'L.')
('OF.', 'F.', 'OE.', 'AS.')
('OE.', 'AS.', 'OF.', 'F.')
('F.', 'OE.', 'OE.', 'F.')
('OF.', 'OE.', 'F.', 'L.')
('L.', 'AS.', 'NL.', 'OE.')
('NL.', 'OE.', 'OE.', 'L.')
('AS.', 'OF.', 'OF.', 'AS.')
('AS.', 'F.', 'AS.', 'NL.')
('OF.', 'OF.', 'AS.', 'L.')
('F.', 'AS.', 'NL.', 'OE.')
('L.', 'AS.', 'NL.', 'AS.')
('OE.', 'L.', 'AS.', 'NL.')
('AS.', 'OE.', 'L.', 'NL.')
('L.', 'NL.', 'AS.', 'OF.')
('OE.', 'L.', 'NL.', 'AS.')
('AS.', 'AS.', 'L.', 'NL.')
('OF.', 'AS.', 'NL.', 'AS.')
('OE.', 'OF.', 'AS.', 'NL.')
('AS.', 'F.', 'OE.', 'F.')
('AS.', 'L.', 'NL.', 'AS.')
('OF.', 'OF.', 'AS.', 'OE.')
('NL.', 'AS.', 'AS.', 'F.')
('NL.', 'AS.', 'OF.', 'AS.')
('AS.', 'OF.', 'AS.', 'OF.')
('NL.', 'AS.', 'AS.', 'L.')
